age,age_group,job,salary,marital,education,targeted,default,balance,housing,loan,response,,,Marital,Response rate (%)
57,5,retired,55000,married,secondary,yes,no,486,yes,no,0,,,,
42,4,management,100000,single,secondary,yes,no,50,no,no,0,,,,
30,3,technician,60000,married,secondary,yes,no,152,yes,yes,0,,,,
60,6,admin.,50000,married,secondary,yes,no,290,yes,no,0,,,,
60,6,blue-collar,20000,married,unknown,no,no,54,yes,no,0,,,,
57,5,entrepreneur,120000,divorced,secondary,yes,no,-37,no,no,0,,,,
36,3,management,100000,married,tertiary,yes,no,101,yes,yes,0,,,,
55,5,blue-collar,20000,married,secondary,yes,no,383,no,no,0,,,,
60,6,retired,55000,married,tertiary,yes,no,81,yes,no,0,,,,
39,3,technician,60000,married,secondary,yes,no,0,yes,no,0,,,,
46,4,management,100000,married,tertiary,yes,no,229,yes,no,0,,,,
44,4,blue-collar,20000,married,secondary,yes,no,-674,yes,no,0,,,,
53,5,blue-collar,20000,married,primary,yes,no,90,no,no,0,,,,
52,5,blue-collar,20000,married,primary,yes,no,128,yes,no,0,,,,
59,5,blue-collar,20000,married,primary,yes,no,179,yes,no,0,,,,
27,2,technician,60000,single,tertiary,no,no,0,yes,no,0,,,,
44,4,blue-collar,20000,married,secondary,yes,no,54,yes,no,0,,,,
47,4,technician,60000,married,tertiary,yes,no,151,yes,no,0,,,,
34,3,admin.,50000,married,secondary,yes,no,61,no,yes,0,,,,
59,5,retired,55000,single,secondary,yes,no,30,yes,no,0,,,,
45,4,management,100000,married,tertiary,yes,no,523,yes,no,0,,,,
29,2,services,70000,divorced,secondary,yes,no,31,yes,no,0,,,,
46,4,technician,60000,divorced,secondary,yes,no,79,no,no,0,,,,
56,5,self-employed,60000,married,primary,yes,no,-34,yes,yes,0,,,,
36,3,blue-collar,20000,married,primary,yes,no,448,yes,no,0,,,,
59,5,retired,55000,divorced,primary,yes,no,81,yes,no,0,,,,
44,4,blue-collar,20000,married,secondary,yes,no,144,yes,no,0,,,,
41,4,admin.,50000,married,secondary,yes,no,351,yes,no,0,,,,
33,3,management,100000,single,tertiary,no,no,-67,yes,no,0,,,,
59,5,management,100000,divorced,tertiary,no,no,262,no,no,0,,,,
57,5,technician,60000,married,primary,yes,no,0,no,no,0,,,,
56,5,technician,60000,divorced,unknown,no,no,56,yes,no,0,,,,
51,5,blue-collar,20000,married,secondary,yes,no,26,yes,no,0,,,,
34,3,admin.,50000,married,unknown,no,no,3,yes,no,0,,,,
43,4,services,70000,married,secondary,yes,no,41,yes,yes,0,,,,
52,5,technician,60000,married,tertiary,yes,no,7,no,yes,0,,,,
33,3,technician,60000,single,secondary,yes,no,105,yes,no,0,,,,
29,2,admin.,50000,single,secondary,yes,no,818,yes,yes,0,,,,
34,3,services,70000,married,secondary,yes,no,-16,yes,yes,0,,,,
31,3,blue-collar,20000,married,secondary,yes,no,0,yes,no,0,,,,
55,5,services,70000,married,secondary,yes,no,2476,yes,no,1,,,,
55,5,management,100000,married,unknown,no,no,1185,no,no,0,,,,
32,3,admin.,50000,single,secondary,yes,no,217,yes,no,0,,,,
38,3,technician,60000,single,secondary,yes,no,1685,yes,no,0,,,,
55,5,admin.,50000,single,secondary,yes,no,802,yes,yes,0,,,,
28,2,unemployed,8000,single,tertiary,no,no,0,yes,no,0,,,,
23,2,blue-collar,20000,married,secondary,yes,no,94,yes,no,0,,,,
32,3,technician,60000,single,secondary,yes,no,0,yes,no,0,,,,
43,4,services,70000,single,unknown,no,no,0,no,no,0,,,,
32,3,blue-collar,20000,married,secondary,yes,no,517,yes,no,0,,,,
46,4,blue-collar,20000,married,secondary,yes,no,265,yes,no,0,,,,
53,5,housemaid,16000,divorced,primary,yes,no,947,yes,no,0,,,,
34,3,self-employed,60000,single,secondary,yes,no,3,yes,no,0,,,,
57,5,unemployed,8000,married,tertiary,yes,no,42,no,no,0,,,,
37,3,blue-collar,20000,married,secondary,yes,no,37,yes,no,0,,,,
59,5,blue-collar,20000,married,secondary,yes,no,57,yes,no,0,,,,
33,3,services,70000,married,secondary,yes,no,22,yes,no,0,,,,
56,5,blue-collar,20000,divorced,primary,yes,no,8,yes,no,0,,,,
48,4,unemployed,8000,married,secondary,yes,no,293,yes,no,0,,,,
43,4,services,70000,married,primary,yes,no,3,yes,no,0,,,,
54,5,blue-collar,20000,married,primary,yes,no,348,yes,no,0,,,,
51,5,blue-collar,20000,married,unknown,no,no,-19,yes,no,0,,,,
26,2,student,4000,single,secondary,yes,no,0,yes,no,0,,,,
40,4,management,100000,married,tertiary,yes,no,-4,yes,no,0,,,,
39,3,management,100000,married,secondary,yes,no,18,yes,no,0,,,,
50,5,technician,60000,married,primary,yes,no,139,no,no,0,,,,
41,4,services,70000,married,secondary,yes,no,0,yes,no,0,,,,
51,5,blue-collar,20000,married,unknown,no,no,1883,yes,no,0,,,,
60,6,retired,55000,divorced,secondary,yes,no,216,yes,no,0,,,,
52,5,blue-collar,20000,married,secondary,yes,no,782,yes,no,0,,,,
48,4,blue-collar,20000,married,secondary,yes,no,904,yes,no,0,,,,
48,4,services,70000,married,unknown,no,no,1705,yes,no,0,,,,
39,3,technician,60000,single,tertiary,no,no,47,yes,no,0,,,,
47,4,services,70000,single,secondary,yes,no,176,yes,no,0,,,,
40,4,blue-collar,20000,married,secondary,yes,no,1225,yes,no,0,,,,
45,4,technician,60000,married,secondary,yes,no,86,yes,no,0,,,,
26,2,admin.,50000,single,secondary,yes,no,82,yes,no,0,,,,
52,5,management,100000,married,tertiary,yes,no,271,yes,no,0,,,,
54,5,technician,60000,married,secondary,yes,no,1378,yes,no,0,,,,
54,5,admin.,50000,married,tertiary,yes,no,184,no,no,1,,,,
50,5,blue-collar,20000,married,primary,yes,no,0,no,no,0,,,,
35,3,blue-collar,20000,married,secondary,yes,no,0,yes,no,0,,,,
44,4,services,70000,married,secondary,yes,no,1357,yes,yes,0,,,,
53,5,entrepreneur,120000,married,unknown,no,no,19,yes,no,0,,,,
35,3,retired,55000,single,primary,yes,no,434,no,no,0,,,,
60,6,admin.,50000,divorced,secondary,yes,no,92,yes,no,0,,,,
53,5,admin.,50000,divorced,secondary,yes,no,1151,yes,no,0,,,,
48,4,unemployed,8000,married,secondary,yes,no,41,yes,no,0,,,,
34,3,technician,60000,married,secondary,yes,no,51,yes,no,0,,,,
54,5,services,70000,married,secondary,yes,no,214,yes,no,0,,,,
51,5,management,100000,married,secondary,yes,no,1161,yes,no,0,,,,
31,3,services,70000,married,tertiary,yes,no,37,yes,no,0,,,,
35,3,technician,60000,divorced,secondary,yes,no,787,yes,no,0,,,,
35,3,services,70000,married,secondary,yes,no,59,yes,no,0,,,,
38,3,technician,60000,married,secondary,yes,no,253,yes,no,0,,,,
36,3,admin.,50000,married,tertiary,yes,no,211,yes,no,0,,,,
58,5,retired,55000,married,primary,yes,no,235,yes,no,0,,,,
40,4,services,70000,divorced,unknown,no,no,4384,yes,no,0,,,,
54,5,management,100000,married,secondary,yes,no,4080,no,no,0,,,,
34,3,blue-collar,20000,single,secondary,yes,no,53,yes,yes,0,,,,
31,3,management,100000,single,tertiary,no,no,0,yes,no,0,,,,
51,5,retired,55000,married,secondary,yes,no,2127,yes,no,0,,,,
33,3,management,100000,married,tertiary,yes,no,377,yes,no,0,,,,
55,5,management,100000,married,tertiary,yes,no,73,yes,no,0,,,,
42,4,admin.,50000,married,secondary,yes,no,445,yes,no,0,,,,
34,3,blue-collar,20000,married,secondary,yes,no,243,yes,no,0,,,,
33,3,blue-collar,20000,single,secondary,yes,no,307,yes,no,0,,,,
38,3,services,70000,married,secondary,yes,no,155,yes,no,0,,,,
50,5,technician,60000,divorced,tertiary,no,no,173,no,yes,0,,,,
43,4,management,100000,married,tertiary,yes,no,400,yes,no,0,,,,
61,6,blue-collar,20000,divorced,primary,yes,no,1428,yes,no,0,,,,
47,4,admin.,50000,married,secondary,yes,no,219,yes,no,0,,,,
48,4,self-employed,60000,married,tertiary,yes,no,7,yes,no,0,,,,
44,4,blue-collar,20000,married,secondary,yes,no,575,yes,no,0,,,,
35,3,student,4000,single,unknown,no,no,298,yes,no,0,,,,
35,3,services,70000,married,secondary,yes,no,0,yes,no,0,,,,
50,5,services,70000,married,secondary,yes,no,5699,yes,no,0,,,,
41,4,management,100000,married,tertiary,yes,no,176,yes,yes,0,,,,
41,4,management,100000,married,tertiary,yes,no,517,yes,no,0,,,,
39,3,services,70000,single,unknown,no,no,257,yes,no,0,,,,
42,4,retired,55000,married,secondary,yes,no,56,yes,no,0,,,,
38,3,blue-collar,20000,married,secondary,yes,no,-390,yes,no,0,,,,
53,5,retired,55000,married,secondary,yes,no,330,yes,no,0,,,,
59,5,housemaid,16000,divorced,primary,yes,no,195,no,no,0,,,,
36,3,services,70000,married,secondary,yes,no,301,yes,no,0,,,,
54,5,blue-collar,20000,married,primary,yes,no,-41,yes,no,0,,,,
40,4,technician,60000,married,tertiary,yes,no,483,yes,no,0,,,,
47,4,unknown,0,married,unknown,no,no,28,no,no,0,,,,
53,5,unemployed,8000,married,unknown,no,no,13,no,no,0,,,,
46,4,housemaid,16000,married,primary,yes,no,965,no,no,0,,,,
39,3,management,100000,married,tertiary,yes,no,378,yes,yes,0,,,,
40,4,unemployed,8000,married,secondary,yes,no,219,yes,no,0,,,,
28,2,blue-collar,20000,married,primary,yes,no,324,yes,no,0,,,,
35,3,entrepreneur,120000,divorced,secondary,yes,no,-69,yes,no,0,,,,
55,5,retired,55000,married,secondary,yes,no,0,no,yes,0,,,,
43,4,technician,60000,divorced,unknown,no,no,205,yes,no,0,,,,
48,4,blue-collar,20000,married,primary,yes,no,278,yes,no,0,,,,
58,5,management,100000,married,unknown,no,no,1065,yes,no,0,,,,
33,3,management,100000,single,tertiary,no,no,34,yes,no,0,,,,
36,3,blue-collar,20000,married,unknown,no,no,1033,no,no,0,,,,
53,5,services,70000,divorced,secondary,yes,no,1467,yes,no,0,,,,
47,4,blue-collar,20000,married,primary,yes,no,-12,yes,no,0,,,,
31,3,services,70000,married,secondary,yes,no,388,yes,no,0,,,,
57,5,entrepreneur,120000,married,secondary,yes,no,294,yes,no,0,,,,
53,5,blue-collar,20000,married,unknown,no,no,1827,no,no,0,,,,
55,5,blue-collar,20000,married,primary,yes,no,627,yes,no,0,,,,
45,4,blue-collar,20000,married,primary,yes,no,25,yes,no,0,,,,
53,5,admin.,50000,divorced,secondary,yes,no,315,yes,no,0,,,,
37,3,blue-collar,20000,married,primary,yes,no,0,yes,no,0,,,,
44,4,admin.,50000,divorced,secondary,yes,no,66,yes,no,0,,,,
49,4,blue-collar,20000,divorced,primary,yes,no,-9,yes,yes,0,,,,
46,4,technician,60000,married,secondary,yes,no,349,yes,yes,0,,,,
43,4,entrepreneur,120000,married,unknown,no,no,100,yes,no,0,,,,
38,3,admin.,50000,married,secondary,yes,no,0,no,no,0,,,,
43,4,technician,60000,married,secondary,yes,no,434,yes,no,0,,,,
49,4,management,100000,married,tertiary,yes,no,3237,yes,no,0,,,,
42,4,management,100000,married,unknown,no,no,275,no,no,0,,,,
22,2,blue-collar,20000,single,secondary,yes,no,0,yes,no,0,,,,
40,4,management,100000,married,tertiary,yes,no,207,yes,no,0,,,,
39,3,blue-collar,20000,married,secondary,yes,no,483,yes,no,0,,,,
51,5,services,70000,married,secondary,yes,no,2248,yes,no,0,,,,
49,4,admin.,50000,married,secondary,yes,no,428,yes,no,0,,,,
53,5,blue-collar,20000,married,secondary,yes,no,0,yes,yes,0,,,,
34,3,services,70000,single,secondary,yes,no,0,yes,no,0,,,,
33,3,technician,60000,divorced,secondary,yes,no,140,yes,no,0,,,,
50,5,management,100000,single,tertiary,no,no,297,yes,no,0,,,,
39,3,blue-collar,20000,married,primary,yes,no,279,yes,no,0,,,,
59,5,entrepreneur,120000,divorced,secondary,yes,no,901,yes,no,0,,,,
30,3,technician,60000,single,secondary,yes,no,2573,yes,no,0,,,,
36,3,services,70000,married,secondary,yes,no,143,yes,yes,0,,,,
40,4,blue-collar,20000,married,secondary,yes,no,475,yes,no,0,,,,
53,5,blue-collar,20000,married,secondary,yes,no,70,yes,no,0,,,,
34,3,management,100000,single,tertiary,no,no,318,yes,no,0,,,,
37,3,technician,60000,married,secondary,yes,no,275,yes,no,0,,,,
42,4,management,100000,divorced,tertiary,no,no,742,yes,no,0,,,,
41,4,entrepreneur,120000,married,primary,yes,no,236,yes,no,0,,,,
30,3,student,4000,single,tertiary,no,no,25,yes,no,0,,,,
37,3,management,100000,single,tertiary,no,no,600,yes,no,0,,,,
39,3,admin.,50000,divorced,secondary,yes,no,-349,yes,no,0,,,,
41,4,blue-collar,20000,married,primary,yes,no,183,yes,yes,0,,,,
40,4,blue-collar,20000,married,primary,yes,no,0,yes,no,0,,,,
42,4,management,100000,single,tertiary,no,no,0,yes,yes,1,,,,
40,4,blue-collar,20000,divorced,primary,yes,no,0,yes,no,0,,,,
57,5,technician,60000,married,secondary,yes,no,1078,yes,no,0,,,,
56,5,entrepreneur,120000,divorced,secondary,yes,no,155,no,no,0,,,,
37,3,admin.,50000,married,secondary,yes,no,190,yes,no,0,,,,
59,5,retired,55000,married,secondary,yes,no,319,yes,no,0,,,,
39,3,services,70000,divorced,secondary,yes,no,-185,yes,no,0,,,,
49,4,services,70000,married,secondary,yes,no,47,no,no,0,,,,
38,3,services,70000,single,secondary,yes,no,570,yes,no,0,,,,
36,3,self-employed,60000,married,tertiary,yes,no,19,no,no,0,,,,
50,5,blue-collar,20000,married,primary,yes,no,61,yes,no,0,,,,
41,4,admin.,50000,married,secondary,yes,no,-62,yes,yes,0,,,,
54,5,technician,60000,married,tertiary,yes,no,258,no,no,0,,,,
58,5,blue-collar,20000,married,primary,yes,no,76,yes,no,0,,,,
30,3,blue-collar,20000,single,secondary,yes,no,0,yes,no,0,,,,
33,3,admin.,50000,single,secondary,yes,no,352,yes,no,0,,,,
47,4,admin.,50000,married,secondary,yes,no,368,yes,no,0,,,,
50,5,technician,60000,single,tertiary,no,no,339,yes,no,0,,,,
32,3,blue-collar,20000,married,secondary,yes,no,1331,yes,no,0,,,,
40,4,self-employed,60000,married,secondary,yes,no,672,yes,no,0,,,,
37,3,management,100000,married,tertiary,yes,no,58,yes,no,0,,,,
54,5,technician,60000,single,unknown,no,no,447,yes,no,0,,,,
24,2,student,4000,single,secondary,yes,no,423,yes,no,0,,,,
54,5,management,100000,married,tertiary,yes,no,0,no,no,0,,,,
34,3,technician,60000,married,secondary,yes,no,19,yes,no,0,,,,
56,5,technician,60000,divorced,primary,yes,no,13,yes,no,0,,,,
31,3,blue-collar,20000,single,secondary,yes,no,3,yes,no,0,,,,
24,2,student,4000,single,secondary,yes,no,82,yes,no,0,,,,
42,4,blue-collar,20000,divorced,primary,yes,no,28,yes,no,0,,,,
57,5,technician,60000,married,secondary,yes,no,792,yes,no,0,,,,
42,4,blue-collar,20000,married,unknown,no,no,408,yes,no,0,,,,
51,5,admin.,50000,married,secondary,yes,no,531,yes,no,0,,,,
57,5,retired,55000,married,secondary,yes,no,211,yes,no,0,,,,
36,3,services,70000,single,secondary,yes,no,62,yes,no,0,,,,
53,5,services,70000,married,unknown,no,no,257,yes,no,0,,,,
50,5,technician,60000,married,secondary,yes,no,1234,yes,no,0,,,,
54,5,management,100000,married,tertiary,yes,no,313,yes,no,0,,,,
55,5,blue-collar,20000,married,secondary,yes,no,89,yes,no,0,,,,
44,4,blue-collar,20000,married,secondary,yes,no,129,yes,yes,0,,,,
43,4,management,100000,married,unknown,no,no,0,yes,no,0,,,,
56,5,admin.,50000,married,secondary,yes,no,353,yes,no,0,,,,
54,5,technician,60000,married,unknown,no,no,851,yes,no,0,,,,
55,5,services,70000,divorced,primary,yes,no,96,yes,yes,0,,,,
37,3,services,70000,divorced,secondary,yes,no,398,yes,yes,0,,,,
33,3,admin.,50000,single,tertiary,no,no,193,no,no,0,,,,
46,4,admin.,50000,married,secondary,yes,no,-358,yes,no,0,,,,
36,3,blue-collar,20000,married,secondary,yes,no,539,yes,yes,0,,,,
51,5,technician,60000,single,secondary,yes,no,0,yes,no,0,,,,
40,4,retired,55000,single,primary,yes,no,0,no,no,0,,,,
42,4,blue-collar,20000,married,secondary,yes,no,490,yes,no,0,,,,
51,5,blue-collar,20000,married,secondary,yes,no,0,yes,no,0,,,,
49,4,blue-collar,20000,married,unknown,no,no,403,yes,no,0,,,,
48,4,management,100000,married,secondary,yes,no,161,yes,no,0,,,,
32,3,technician,60000,divorced,tertiary,no,no,2558,no,no,0,,,,
31,3,admin.,50000,single,secondary,yes,no,98,yes,no,0,,,,
55,5,management,100000,single,tertiary,no,no,115,no,no,0,,,,
40,4,blue-collar,20000,single,secondary,yes,no,436,yes,no,0,,,,
47,4,technician,60000,married,tertiary,yes,no,831,yes,no,0,,,,
57,5,technician,60000,married,unknown,no,no,206,yes,no,0,,,,
41,4,blue-collar,20000,married,secondary,yes,no,290,yes,no,0,,,,
48,4,blue-collar,20000,married,secondary,yes,no,1,no,no,0,,,,
42,4,blue-collar,20000,married,unknown,no,no,57,yes,no,0,,,,
30,3,blue-collar,20000,single,secondary,yes,no,-457,yes,no,0,,,,
58,5,management,100000,single,tertiary,no,no,1387,yes,no,0,,,,
45,4,management,100000,divorced,tertiary,no,no,24598,yes,no,0,,,,
49,4,blue-collar,20000,married,secondary,yes,no,30,yes,no,0,,,,
42,4,admin.,50000,single,secondary,yes,no,1022,yes,no,0,,,,
53,5,technician,60000,married,secondary,yes,no,56,yes,yes,0,,,,
51,5,admin.,50000,single,secondary,yes,yes,-2,no,no,0,,,,
32,3,services,70000,single,secondary,yes,no,121,yes,no,0,,,,
41,4,blue-collar,20000,single,secondary,yes,no,842,yes,no,0,,,,
43,4,management,100000,divorced,secondary,yes,no,693,yes,no,0,,,,
40,4,blue-collar,20000,divorced,secondary,yes,no,-333,yes,no,0,,,,
50,5,blue-collar,20000,married,primary,yes,no,1533,yes,no,0,,,,
34,3,management,100000,married,tertiary,yes,no,46,yes,no,0,,,,
53,5,services,70000,married,unknown,no,no,18,no,no,0,,,,
45,4,technician,60000,married,secondary,yes,no,44,yes,no,0,,,,
39,3,blue-collar,20000,married,primary,yes,no,-100,yes,no,0,,,,
44,4,services,70000,married,tertiary,yes,no,510,yes,no,0,,,,
55,5,management,100000,married,tertiary,yes,no,685,yes,no,0,,,,
46,4,management,100000,single,tertiary,no,no,187,yes,no,0,,,,
45,4,blue-collar,20000,married,secondary,yes,no,66,yes,no,0,,,,
34,3,admin.,50000,married,secondary,yes,no,560,yes,no,0,,,,
36,3,blue-collar,20000,married,secondary,yes,no,0,yes,no,0,,,,
59,5,unknown,0,divorced,unknown,no,no,27,no,no,0,,,,
31,3,admin.,50000,single,secondary,yes,no,12,yes,no,0,,,,
44,4,blue-collar,20000,single,secondary,yes,no,34,yes,no,0,,,,
33,3,entrepreneur,120000,single,tertiary,no,no,1068,yes,no,0,,,,
40,4,blue-collar,20000,married,secondary,yes,no,211,yes,no,0,,,,
46,4,admin.,50000,single,tertiary,no,no,377,yes,no,0,,,,
48,4,management,100000,married,tertiary,yes,no,263,yes,no,0,,,,
42,4,services,70000,married,secondary,yes,no,1263,yes,no,0,,,,
27,2,services,70000,married,secondary,yes,no,8,yes,no,0,,,,
48,4,admin.,50000,married,secondary,yes,no,126,yes,yes,0,,,,
59,5,admin.,50000,married,secondary,yes,no,230,yes,no,0,,,,
46,4,technician,60000,married,tertiary,yes,no,841,yes,no,0,,,,
38,3,admin.,50000,divorced,secondary,yes,no,308,yes,no,0,,,,
43,4,management,100000,divorced,tertiary,no,no,1,yes,no,0,,,,
38,3,admin.,50000,divorced,tertiary,no,no,86,yes,no,0,,,,
23,2,student,4000,single,secondary,yes,no,157,yes,no,0,,,,
34,3,services,70000,married,secondary,yes,no,22,yes,no,0,,,,
38,3,admin.,50000,married,secondary,yes,no,46,yes,yes,0,,,,
37,3,blue-collar,20000,married,secondary,yes,no,1293,no,no,0,,,,
25,2,admin.,50000,single,secondary,yes,no,122,yes,no,0,,,,
48,4,blue-collar,20000,married,unknown,no,no,131,yes,no,0,,,,
49,4,blue-collar,20000,single,secondary,yes,no,143,yes,no,0,,,,
38,3,admin.,50000,single,secondary,yes,no,393,no,no,0,,,,
43,4,blue-collar,20000,married,primary,yes,no,98,yes,no,0,,,,
33,3,management,100000,married,tertiary,yes,no,0,yes,no,0,,,,
55,5,blue-collar,20000,married,secondary,yes,no,224,yes,no,0,,,,
38,3,blue-collar,20000,married,secondary,yes,no,757,yes,no,0,,,,
49,4,services,70000,married,secondary,yes,no,245,yes,yes,0,,,,
40,4,management,100000,married,secondary,yes,no,8486,no,no,0,,,,
43,4,admin.,50000,married,unknown,no,no,350,no,no,0,,,,
38,3,blue-collar,20000,married,secondary,yes,no,20,yes,no,0,,,,
58,5,services,70000,married,secondary,yes,no,1667,yes,yes,0,,,,
57,5,technician,60000,married,unknown,no,no,345,yes,no,0,,,,
32,3,unemployed,8000,married,secondary,yes,no,10,yes,no,0,,,,
56,5,management,100000,married,tertiary,yes,no,830,yes,yes,1,,,,
58,5,blue-collar,20000,divorced,unknown,no,no,29,yes,no,0,,,,
60,6,retired,55000,divorced,secondary,yes,no,545,yes,no,1,,,,
37,3,technician,60000,married,tertiary,yes,no,8730,yes,no,0,,,,
